PACKETS    | STATUS       | DURATION   | SUCCESS    | BUSY     | ERRORS    | LOSS_RATE
────────── | ──────────── | ────────── | ────────── | ──────── | ───────── | ─────────
5          | SUCCESS      | 0s         | 5          | 0        | 0+0       | 0.00%
10         | SUCCESS      | 0s         | 10         | 0        | 0+0       | 0.00%
15         | SUCCESS      | 0s         | 15         | 0        | 0+0       | 0.00%
20         | DEGRADED     | 1s         | 15         | 5        | 0+0       | 25.00%
30         | FAILED       | 0s         | 15         | 15       | 0+0       | 50.00%
50         | FAILED       | 0s         | 15         | 35       | 0+0       | 70.00%
100        | FAILED       | 1s         | 15         | 85       | 0+0       | 85.00%
500        | FAILED       | 0s         | 20         | 480      | 0+0       | 96.00%
1000       | FAILED       | 1s         | 25         | 975      | 0+0       | 97.50%
5000       | FAILED       | 1s         | 65         | 4935     | 0+0       | 98.70%
