MODE         | WORKERS  | PACKETS  | STATUS       | DURATION   | NOTES
──────────── | ──────── | ──────── | ──────────── | ────────── | ─────────────────
persistent   | 1        | 100      | SUCCESS      | 9s         | loss_rate=0.00%
persistent   | 1        | 1000     | SUCCESS      | 9s         | loss_rate=0.00%
persistent   | 1        | 10000    | SUCCESS      | 13s        | loss_rate=0.00%
persistent   | 5        | 1000     | SUCCESS      | 10s        | loss_rate=0.00%
persistent   | 10       | 1000     | SUCCESS      | 10s        | loss_rate=0.00%
persistent   | 50       | 1000     | SUCCESS      | 15s        | loss_rate=0.00%
persistent   | 100      | 1000     | SUCCESS      | 20s        | loss_rate=0.00%
per-conn     | 5        | 50       | SUCCESS      | 9s         | loss_rate=0.00%
per-conn     | 10       | 50       | SUCCESS      | 10s        | loss_rate=0.00%
per-conn     | 50       | 50       | SUCCESS      | 10s        | loss_rate=0.00%
per-conn     | 100      | 50       | SUCCESS      | 9s         | loss_rate=0.00%
per-conn     | 200      | 50       | SUCCESS      | 9s         | loss_rate=0.00%
per-conn     | 500      | 50       | SUCCESS      | 9s         | loss_rate=0.00%
